Wavelength,1,2,3,4,5,6,7,8,9,10
2.01383,0.140892,0.132122,0.160546,0.185797,0.134793,0.144133,0.162379,0.150642,0.142847,0.145614
2.02043,0.140237,0.131243,0.160673,0.186844,0.133718,0.143555,0.162061,0.150224,0.142379,0.144982
2.02703,0.139708,0.13095,0.15993,0.186225,0.13327,0.143277,0.161432,0.149905,0.141764,0.144429
2.03363,0.139961,0.131002,0.160148,0.186361,0.133194,0.143283,0.16167,0.149917,0.14177,0.144616
2.04024,0.139526,0.130628,0.159656,0.186041,0.132806,0.142875,0.161154,0.149569,0.141407,0.144173
2.04684,0.138004,0.129669,0.158775,0.185202,0.132298,0.141882,0.160557,0.148253,0.140182,0.143235
2.05344,0.137289,0.129295,0.158183,0.18485,0.131572,0.141861,0.160331,0.147906,0.139704,0.142486
2.06004,0.137994,0.129284,0.158917,0.18543,0.131916,0.142551,0.16064,0.148517,0.139779,0.142856
2.06664,0.138086,0.129535,0.159023,0.185663,0.131892,0.142415,0.161093,0.148569,0.140564,0.143024
2.07325,0.139027,0.130304,0.159995,0.186239,0.132778,0.142774,0.161551,0.149399,0.141287,0.143685
2.07985,0.139248,0.130694,0.160459,0.187093,0.133073,0.14299,0.161617,0.149731,0.141414,0.143949
2.08645,0.139247,0.130856,0.160505,0.187207,0.133428,0.143232,0.161583,0.149508,0.141093,0.144277
2.09306,0.139546,0.131243,0.160895,0.188058,0.133411,0.14358,0.161882,0.149763,0.141281,0.14452
2.09966,0.139468,0.131034,0.161106,0.187958,0.133546,0.143494,0.161918,0.149996,0.141758,0.14438
2.10627,0.139299,0.13113,0.161047,0.187658,0.133482,0.143473,0.161727,0.149995,0.14132,0.144478
2.11287,0.13932,0.131071,0.161033,0.187515,0.133266,0.143494,0.161864,0.149652,0.141241,0.144351
2.11948,0.139153,0.131148,0.161056,0.188118,0.133456,0.143575,0.161267,0.149797,0.141101,0.144586
2.12608,0.139452,0.130895,0.160692,0.187485,0.13345,0.143407,0.161089,0.149557,0.140965,0.144586
2.13269,0.13915,0.130908,0.160754,0.187839,0.133385,0.143312,0.160804,0.149244,0.140781,0.144062
2.1393,0.139409,0.130843,0.160832,0.188292,0.133293,0.143338,0.160921,0.149616,0.140984,0.144441
2.1459,0.139247,0.130908,0.161011,0.188087,0.133488,0.143608,0.161115,0.149818,0.140974,0.1442
2.15251,0.139163,0.130734,0.160732,0.188065,0.133335,0.143354,0.161144,0.149414,0.140854,0.143907
2.15912,0.138868,0.130535,0.160538,0.187731,0.133219,0.143149,0.160706,0.149556,0.140582,0.144043
2.16572,0.138857,0.130756,0.160564,0.188145,0.133317,0.143216,0.160724,0.149519,0.140643,0.144192
2.17233,0.138691,0.130569,0.159953,0.187547,0.133138,0.143049,0.160013,0.149006,0.140306,0.144269
2.17894,0.13876,0.130533,0.159963,0.187185,0.132847,0.142899,0.160118,0.148923,0.140317,0.143807
